110;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Lingüística;Presencial;8;123
111;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Sociología;Presencial;8;143
112;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Ciencias Humanas;Trabajo Social;Presencial;10;148
113;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Medicina y Ciencias de la Salud;Fisioterapia;Presencial;10;166
114;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Medicina y Ciencias de la Salud;Fonoaudiología;Presencial;10;155
115;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Medicina y Ciencias de la Salud;Medicina;Presencial;12;
116;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Medicina y Ciencias de la Salud;Nutrición y dietética;Presencial;10;155
117;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Medicina y Ciencias de la Salud;Terapia Ocupacional;Presencial;10;172
118;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Medicina y Ciencias de la Salud;Odontología;Presencial;10;180
119;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Medicina y Ciencias de la Salud;Pscicología;Presencial;10;150
120;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Medicina Veterinaria y de Zootecnia;Medicina Veterinaria;Presencial;12;209
121;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Medicina Veterinaria y de Zootecnia;Zootecnia;Presencial;10;186
122;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Musica;Música;Presencial;10;171
123;Universidad Nacional de Colombia;Pública;Av Cra 30 #45-03;Escuela de Musica;Música Instrumental;Presencial;10;183
